gameId,blueFirstBlood,blueKills,blueDeaths,blueAssists,blueEliteMonsters,blueDragons,blueTotalGold,blueTotalExperience,blueWins
287,1,5,10,3,1,0,17092,17925,0
288,0,4,8,2,1,0,17370,18157,0
289,1,14,8,15,1,1,21295,18850,0
290,1,6,3,11,1,0,17140,18114,0
291,0,4,5,4,0,0,16125,16349,0
292,0,6,3,6,0,0,16297,17282,1
293,0,9,1,9,1,1,17397,17252,1
294,1,5,7,4,1,1,17101,17909,1
295,0,3,4,2,2,1,16293,17473,0
296,0,8,6,10,1,1,18833,18120,1
297,1,5,7,6,1,1,16264,17009,1
298,1,6,6,4,0,0,17262,17986,0
299,1,7,4,8,1,1,17437,17410,0
300,1,4,7,7,1,0,17449,17054,1
301,1,2,3,1,0,0,16235,17347,0
302,0,4,6,3,1,0,15920,16295,1
303,1,11,9,10,0,0,18719,17331,1
304,0,2,9,2,1,1,15239,16061,0
305,1,7,4,11,1,0,17349,18205,1
306,1,10,6,13,0,0,18940,17045,1
307,0,7,6,8,0,0,17234,17930,0
308,0,2,3,2,0,0,15186,16230,0
309,1,7,7,7,0,0,16445,18198,1
310,1,11,3,13,0,0,18819,18530,1
311,1,11,3,13,1,1,18763,18732,1
312,1,14,7,10,1,0,21305,17948,1
313,0,7,5,5,0,0,17355,17959,0
314,1,3,4,3,1,0,16276,17441,0
315,0,5,8,3,0,0,16288,17324,0
316,0,3,7,2,0,0,15140,15874,0
317,0,9,7,10,2,1,18710,18869,1
318,1,4,4,3,1,0,16062,18083,0
319,0,7,10,6,1,1,17456,17124,0
320,1,4,9,4,0,0,16381,17972,0
321,0,2,5,3,1,0,15050,14123,0
322,0,3,8,3,0,0,15095,15962,0
323,0,4,6,5,1,0,16232,17316,0
324,1,10,5,7,1,1,18854,18451,1
325,0,6,6,4,1,0,17069,17344,1
326,1,8,9,9,1,1,18720,18054,1
327,0,6,6,8,1,1,17334,17887,0
328,0,7,10,8,1,1,17233,18109,0
329,0,10,10,8,0,0,18619,17063,0
330,0,6,8,4,0,0,17113,17360,0
331,1,8,6,6,0,0,18572,18075,1
332,0,5,5,5,0,0,16379,17413,0
333,1,7,3,7,1,1,17275,17014,1
334,1,11,6,12,1,0,18799,17248,1
335,0,7,9,5,2,1,17094,18058,0
336,0,6,8,5,1,1,16211,17307,1
337,0,8,7,6,1,1,17358,18039,1
338,1,8,6,8,1,1,17478,18318,1
339,0,4,5,8,1,1,16150,17198,1
340,1,9,6,10,0,0,17291,17284,0
341,0,4,4,0,1,1,15018,17188,1
342,1,6,6,4,0,0,17233,18102,0
343,1,7,5,5,1,0,17210,17999,0
344,0,5,6,6,0,0,17170,17306,0
345,1,4,5,4,0,0,16310,18141,0
346,0,2,6,0,0,0,14836,14336,0
347,1,7,6,8,0,0,17265,17872,0
348,1,4,3,2,0,0,15601,15907,0
349,0,5,4,3,0,0,16285,18072,0
350,0,9,4,5,1,0,17428,18294,1
351,1,9,6,9,1,1,18589,17970,1
352,1,12,8,9,1,1,17525,16271,1
353,1,8,7,8,2,1,17205,18029,1
354,1,10,7,11,1,1,18663,18484,1
355,1,9,3,6,1,1,18657,18708,1
356,1,4,5,1,0,0,15230,15882,0
357,1,6,4,10,1,1,17083,17347,1
358,0,6,6,5,1,0,17473,18056,0
359,0,4,4,1,1,1,15377,17336,1
360,0,2,8,2,1,1,16351,18161,0
361,0,10,3,10,1,1,18803,18699,1
362,1,7,7,6,0,0,17497,18023,1
363,1,10,7,13,1,1,18840,18023,1
364,0,4,6,6,0,0,17192,18154,0
365,1,8,8,10,1,1,16027,16026,0
366,1,11,6,11,0,0,18908,17010,1
367,1,4,3,2,1,1,16296,18077,0
368,1,8,7,8,0,0,18699,18254,1
369,1,8,3,13,1,1,18814,17994,1
370,0,5,6,2,1,0,15868,17095,0
371,0,4,5,3,0,0,16064,16116,0
372,0,6,4,6,1,0,17356,18140,0
373,0,10,10,11,1,1,18669,18522,1
374,1,9,7,8,0,0,18757,18975,1
375,1,5,2,6,1,0,16365,17372,1
376,1,9,9,7,1,1,18891,17096,1
377,1,4,3,6,1,1,17408,17317,0
378,1,8,6,4,1,1,18821,16980,1
379,1,6,4,4,0,0,17325,18397,0
380,1,8,6,7,1,1,17383,18246,1
381,0,4,9,4,1,1,16221,17288,0
382,0,5,9,5,0,0,15828,18244,1
383,1,13,7,13,1,1,21221,18198,1
384,1,10,4,13,1,1,18842,17958,1
385,0,5,8,10,0,0,16265,16326,0
386,0,2,9,2,0,0,16187,16225,0
387,0,3,7,1,0,0,16392,17123,0
388,1,7,5,11,1,0,17198,17241,1
389,1,3,4,3,1,0,16278,17284,1
390,0,5,6,7,0,0,17265,18161,1
391,0,4,9,0,0,0,15016,15936,0
392,0,2,8,2,1,1,15396,17278,1
393,1,13,5,15,2,1,21168,18323,1
394,0,8,8,9,1,1,18544,18050,1
395,0,2,4,2,0,0,15068,16013,0
396,0,5,7,7,1,1,16282,16326,0
397,1,6,5,7,0,0,17308,17322,0
398,1,8,6,11,1,1,17515,18503,1
399,1,10,10,8,0,0,18743,17308,1
400,0,7,1,5,0,0,17489,18666,1
401,1,4,7,2,0,0,16136,17919,1
402,0,6,6,6,0,0,16331,17267,0
403,1,7,1,6,1,0,17399,17980,1
404,1,1,6,3,2,1,18396,17981,0
405,0,4,7,5,1,0,16324,17370,1
406,0,11,3,9,1,1,18426,18032,0
407,1,6,5,6,1,0,17510,19081,1
408,1,5,9,4,1,0,15815,14096,0
409,1,5,3,6,0,0,17115,17922,1
410,1,9,2,8,1,1,18891,17973,1
411,0,6,5,6,1,1,16336,17255,0
412,0,3,7,3,0,0,14673,14318,0
413,0,5,12,5,0,0,16112,16015,0
414,1,4,4,4,0,0,16325,17356,0
415,0,8,5,5,0,0,17536,17992,1
416,0,5,10,10,0,0,17293,18033,0
417,0,3,7,3,0,0,15434,16134,0
418,0,1,3,2,0,0,14918,16075,0
419,0,8,3,6,1,1,18548,18216,1
420,1,5,3,3,1,0,17073,18009,1
421,1,4,3,5,1,1,16068,17284,0
422,0,2,6,3,0,0,16195,17096,0
423,1,2,3,3,0,0,17448,17362,1
424,1,5,4,7,1,1,15912,14017,1
425,0,4,8,3,0,0,17251,17951,0
426,1,6,7,6,0,0,16250,17226,0
427,0,2,2,2,0,0,16329,18087,1
428,0,10,6,7,0,0,18833,16997,1
429,0,8,8,6,1,0,18661,17358,0
430,1,10,6,10,0,0,18659,17254,1
431,0,4,7,4,0,0,16115,17266,0
432,0,10,5,8,0,0,18751,18005,0
433,0,3,4,3,0,0,15567,16310,1
434,0,6,3,5,0,0,16407,17346,0
435,1,8,5,5,0,0,16235,17476,0
436,1,14,5,16,2,1,21266,18987,1
437,1,9,2,9,0,0,17420,18026,1
438,1,5,5,4,1,0,17027,18250,1
439,0,7,9,5,0,0,16388,17351,0
440,1,4,4,5,1,1,16024,16168,1
441,1,9,6,13,1,1,18723,18766,1
442,0,6,7,5,1,0,17511,17389,1
443,1,13,5,13,0,0,17584,18036,1
444,0,3,10,2,0,0,15317,16208,0
445,0,8,8,8,1,0,17331,17294,1
446,1,9,5,7,1,1,18653,18641,1
447,0,4,1,2,1,0,17226,18423,1
448,0,6,3,9,2,1,17329,17993,1
449,1,8,3,7,1,1,18737,17965,1
450,1,8,7,7,0,0,18678,18003,1
451,0,8,4,11,0,0,18940,17857,1
452,0,5,7,4,1,0,16038,18168,0
453,0,9,7,10,0,0,18866,18096,1
454,1,3,3,3,0,0,16075,16264,1
455,0,4,5,4,0,0,16327,17350,0
456,0,7,12,9,1,0,15965,14882,1
457,1,2,8,2,1,1,15141,17103,0
458,0,3,7,4,0,0,16286,17346,0
459,1,5,5,7,0,0,15938,17158,1
460,1,8,8,10,1,1,17425,17217,0
461,0,3,8,2,0,0,15130,16215,0
462,1,3,5,3,1,0,16248,16320,1
463,0,1,6,1,0,0,16186,17348,0
464,1,14,5,15,0,0,21365,18984,1
465,0,7,9,5,0,0,17263,17486,1
466,1,5,5,7,1,1,16118,16988,1
467,1,11,9,10,1,1,18697,18130,1
468,0,2,4,0,0,0,14733,14309,0
469,1,9,1,9,0,0,18835,18901,1
470,0,3,7,4,1,1,14776,14337,0
471,1,8,3,10,0,0,18743,18138,1
472,1,5,3,7,0,0,16122,18228,1
473,0,5,5,6,0,0,15887,17492,1
474,0,2,5,1,0,0,15594,17302,0
475,1,9,5,8,0,0,17320,17061,0
476,1,8,4,8,1,1,17369,17430,1
477,0,3,10,2,0,0,15233,15861,0
478,1,10,8,11,1,0,18603,18097,0
479,0,5,10,6,0,0,16260,15855,0
480,1,7,8,7,0,0,17346,18036,1
481,1,8,6,8,1,0,18563,18505,0
482,0,7,1,7,0,0,17361,18714,1
483,1,7,6,9,1,1,17446,17244,1
484,0,5,7,5,0,0,17201,17481,1
485,0,7,7,10,0,0,17294,15872,0
486,1,9,3,6,1,1,18663,17987,1
487,0,5,10,5,1,1,15369,15902,0
488,0,7,7,5,1,0,17364,18512,1
489,1,12,7,13,0,0,18934,18033,1
490,0,3,7,3,0,0,16101,16242,0
491,0,5,7,4,1,1,16215,17424,1
492,0,2,4,3,0,0,15580,17291,0
493,0,8,7,10,1,1,17446,17185,0
494,0,4,2,5,0,0,16421,17457,0
495,0,6,6,5,0,0,17476,17475,0
496,0,5,9,3,0,0,16427,17311,0
497,1,11,7,9,1,1,18835,18818,1
498,0,4,6,5,0,0,15215,15907,0
499,1,10,5,13,1,1,18851,17835,1
500,1,3,5,3,1,0,16184,18080,0
501,1,7,6,10,0,0,17277,16298,1
502,1,11,8,9,1,1,18882,18243,0
503,0,6,6,9,1,1,16264,17214,0
504,1,2,6,3,1,1,16270,17217,0
505,0,4,7,2,1,0,16290,18128,0
506,0,4,5,3,0,0,16232,17260,1
507,1,4,5,2,0,0,15823,15892,0
508,0,4,5,3,0,0,16243,18153,1
509,0,10,8,13,0,0,18859,17124,1
510,1,2,2,3,0,0,15159,16157,0
511,0,4,3,6,0,0,17243,18188,0
512,1,10,6,11,0,0,21406,18156,1
513,1,4,7,5,0,0,14950,14381,0
514,1,3,7,1,0,0,14596,14355,0
515,0,5,4,5,1,0,17298,18836,0
516,0,8,10,10,0,0,17450,16247,0
517,1,11,10,12,0,0,18876,18003,1
518,1,5,5,2,0,0,16035,18062,0
519,0,5,8,3,0,0,17345,18472,0
520,1,12,7,15,0,0,21259,19097,1
521,0,5,8,5,0,0,16095,17158,0
522,0,3,8,4,1,1,16127,18485,0
523,1,7,6,6,1,1,17384,18075,0
524,1,11,5,13,1,0,18806,17938,1
525,1,9,6,11,1,0,18353,17908,1
526,1,7,10,8,0,0,16343,16163,0
527,0,4,2,5,0,0,16204,15930,0
528,1,12,4,11,1,1,18786,18735,1
529,0,7,2,8,0,0,17421,16273,1
530,0,5,4,6,0,0,17289,17380,1
531,1,7,5,6,1,1,17316,18146,0
532,1,6,6,12,0,0,17307,18044,1
533,0,6,8,8,1,0,17286,17351,0
534,0,7,9,7,1,1,17202,18066,1
535,1,12,5,15,1,1,21360,18930,1
536,1,4,4,5,1,0,16128,17504,1
537,0,4,8,3,0,0,16091,17094,0
538,1,6,7,3,0,0,17173,17955,1
539,1,6,3,3,1,1,17387,18443,1
540,0,7,6,8,1,1,16252,17166,1
541,1,10,8,9,1,1,21098,18508,1
542,0,2,6,2,0,0,15267,16183,0
543,1,3,4,3,1,1,16253,17925,1
544,0,3,6,4,0,0,15929,16062,0
545,1,4,4,6,0,0,16229,16235,0
546,1,7,5,7,1,0,17429,17134,1
547,0,3,7,3,0,0,15100,15940,0
548,1,12,10,9,0,0,17507,17050,1
549,0,10,12,13,2,1,18756,18635,1
550,0,3,4,3,1,0,16267,17223,0
551,0,3,7,3,0,0,15551,17292,0
552,1,9,8,11,1,1,18767,18643,1
553,0,8,5,6,0,0,18727,18308,1
554,0,3,7,2,0,0,15397,16229,0
555,1,2,4,1,1,0,15431,17312,1
556,0,6,1,5,0,0,17450,18127,1
557,0,5,4,5,1,0,17382,17987,0
558,0,11,8,14,0,0,18859,18122,1
559,0,0,4,0,0,0,15002,15922,0
560,0,4,9,2,0,0,15518,16977,0
561,0,9,5,14,1,1,18668,18793,1
562,1,6,8,9,1,1,16170,14186,1
563,1,6,7,7,1,1,16143,16429,1
564,1,10,6,15,1,0,21387,18864,1
565,0,5,5,6,0,0,16406,17259,0
566,1,8,6,13,0,0,18650,17963,1
567,1,6,9,5,0,0,16368,17007,0
568,0,4,9,7,1,0,17292,17515,0
569,0,2,5,2,1,1,16274,17039,0
570,1,8,9,4,0,0,17318,15917,0
571,1,8,6,8,1,1,17352,17968,0
572,0,6,9,5,1,0,16352,17276,0
573,0,6,3,9,0,0,18860,18224,1
574,0,6,10,5,2,1,17287,18941,1
575,0,6,1,5,0,0,17448,18363,1
576,1,6,4,5,0,0,16101,15930,1
577,1,7,2,7,1,1,16265,18058,1
578,0,10,8,9,0,0,17307,17293,1
579,1,2,8,1,1,0,15390,15882,0
580,0,1,5,0,1,0,14294,14206,0
581,0,5,8,3,1,0,16286,16283,0
582,0,6,4,7,1,0,18713,18008,1
583,0,5,7,4,0,0,16352,17263,0
584,1,8,6,13,1,1,18819,18594,1
585,1,8,3,7,0,0,18745,18068,1
586,1,10,7,8,0,0,18611,17318,0
587,1,10,6,6,1,1,18869,17937,1
588,0,1,9,1,0,0,15449,16191,0
589,1,14,6,15,1,1,21287,19058,1
590,0,10,3,13,0,0,18765,18086,1
591,1,3,4,3,1,0,16390,17473,0
592,1,12,5,6,1,0,18909,18171,1
593,1,14,6,10,1,1,21222,18911,1
594,0,5,6,6,0,0,17112,17450,0
595,0,10,10,10,0,0,18695,15983,1
596,1,7,4,4,1,1,16303,18123,0
597,0,5,7,5,0,0,17381,17387,0
598,0,6,5,3,1,1,17245,18204,1
599,0,7,6,5,1,1,17424,18065,1
600,1,6,4,6,0,0,17409,19443,1
601,0,7,6,5,0,0,17423,18030,0
602,0,3,4,3,0,0,16257,18087,0
603,0,5,8,5,0,0,16074,16189,0
604,0,5,8,4,1,1,16086,17179,0
605,1,6,7,5,0,0,16124,16047,0
606,1,9,4,11,2,1,18717,17145,1
607,0,6,10,3,1,1,16344,17096,0
608,1,8,5,10,0,0,17341,17202,0
609,1,4,6,4,0,0,17348,18173,0
610,1,8,4,10,1,1,18607,17913,1
611,1,11,10,11,1,1,18688,17151,1
612,0,7,6,9,0,0,16426,17311,0
613,0,5,1,4,1,1,17421,18874,1
614,0,6,6,6,0,0,17267,18075,1
615,0,6,2,4,0,0,17380,18121,1
616,1,9,6,11,1,1,18400,18652,1
617,1,9,9,11,1,1,17467,18947,1
618,0,2,3,0,0,0,15208,16226,0
619,0,6,2,4,1,1,16243,17260,0
620,0,0,9,0,0,0,15245,17097,0
621,0,6,8,4,1,1,17333,17847,0
622,0,6,8,6,0,0,17179,17369,0
623,0,4,7,3,0,0,16167,16176,0
624,0,11,6,13,0,0,18752,18121,0
625,1,9,6,9,1,1,17401,18902,1
626,1,3,3,3,1,0,17576,18006,1
627,1,13,6,14,2,1,21295,18654,1
628,0,10,8,13,1,1,18856,17949,1
629,0,6,3,6,0,0,17373,17381,0
